comment,cleaned_comments,Tagged
"نسبت به قیمتش ارزش خرید داره
جاداره، طراحیش قشنگه
تنها مشکلش بندهای ضعیفش هست که باعث میشه  استحکام چندانی نداشنه باشه","نسبت به قیمتش ارزش خرید داره
جاداره طراحیش قشنگه
تنها مشکلش بندهای ضعیفش هست که باعث میشه استحکام چندانی نداشنه باشه","[('نسبت', 'NOUN'), ('به', 'ADP'), ('قیمتش', 'NOUN'), ('ارزش', 'NOUN,EZ'), ('خرید', 'NOUN'), ('داره', 'VERB'), ('جاداره', 'NOUN,EZ'), ('طراحیش', 'NOUN'), ('قشنگه', 'VERB'), ('تنها', 'ADV'), ('مشکلش', 'NOUN'), ('بندهای', 'NOUN,EZ'), ('ضعیفش', 'ADJ'), ('هست', 'VERB'), ('که', 'SCONJ'), ('باعث', 'ADJ,EZ'), ('میشه', 'NOUN'), ('استحکام', 'NOUN,EZ'), ('چندانی', 'ADJ'), ('نداشنه', 'VERB'), ('باشه', 'VERB')]"
چند ماهی میشه که گرفتمش‌. برای برنامه نویسی و کارای گرافیکی ازش استفاده میکنم. واقعا از هر لحاظ بگین عالیه.,چند ماهی میشه که گرفتمش برای برنامه نویسی و کارای گرافیکی ازش استفاده می‌کنم واقعا از هر لحاظ بگین عالیه,"[('چند', 'DET'), ('ماهی', 'NOUN'), ('میشه', 'VERB'), ('که', 'SCONJ'), ('گرفتمش', 'VERB'), ('برای', 'ADP,EZ'), ('برنامه', 'NOUN,EZ'), ('نویسی', 'NOUN'), ('و', 'CCONJ'), ('کارای', 'NOUN,EZ'), ('گرافیکی', 'ADJ'), ('ازش', 'ADP'), ('استفاده', 'NOUN'), ('می\u200cکنم', 'VERB'), ('واقعا', 'ADV'), ('از', 'ADP'), ('هر', 'DET'), ('لحاظ', 'NOUN'), ('بگین', 'NOUN'), ('عالیه', 'ADJ')]"
پراید ستون جدید,پراید ستون جدید,"[('پراید', 'NOUN,EZ'), ('ستون', 'NOUN,EZ'), ('جدید', 'ADJ')]"
"اقا همه چیش خوبه فقط از پایین زیاد حاشیه داره که با روشن شدن گوشی بیشتر هم میشه . و نکته دیگه اینکه به خاطر این که اطرافش یه کوچلو خمیده هست گلس بعد یه مدتی جدا مشیه. 

ولی در کل با این قیمت بهترین گوشی هست و همه چی داره .از دوربین گرفته تا رم و سی پی یو و گرافیک و حسگر های مختلف و خیلی چیزای دیگه.","اقا همه چیش خوبه فقط از پایین زیاد حاشیه داره که با روشن شدن گوشی بیشتر هم میشه و نکته دیگه اینکه به خاطر این‌که اطرافش یه کوچلو خمیده هست گلس بعد یه مدتی جدا مشیه 

ولی در کل با این قیمت بهترین گوشی هست و همه چی داره از دوربین گرفته تا رم و سی پی یو و گرافیک و حسگر‌های مختلف و خیلی چیزای دیگه","[('اقا', 'NOUN'), ('همه', 'DET,EZ'), ('چیش', 'NOUN'), ('خوبه', 'VERB'), ('فقط', 'ADV'), ('از', 'ADP'), ('پایین', 'ADV'), ('زیاد', 'ADJ,EZ'), ('حاشیه', 'NOUN'), ('داره', 'VERB'), ('که', 'SCONJ'), ('با', 'ADP'), ('روشن', 'ADJ'), ('شدن', 'NOUN,EZ'), ('گوشی', 'NOUN,EZ'), ('بیشتر', 'ADJ'), ('هم', 'CCONJ'), ('میشه', 'VERB'), ('و', 'CCONJ'), ('نکته', 'NOUN,EZ'), ('دیگه', 'ADV'), ('اینکه', 'CCONJ'), ('به', 'ADP'), ('خاطر', 'NOUN,EZ'), ('این\u200cکه', 'CCONJ'), ('اطرافش', 'NOUN'), ('یه', 'NUM'), ('کوچلو', 'NOUN'), ('خمیده', 'VERB'), ('هست', 'VERB'), ('گلس', 'NOUN'), ('بعد', 'ADP'), ('یه', 'NUM'), ('مدتی', 'NOUN'), ('جدا', 'ADJ'), ('مشیه', 'NOUN'), ('ولی', 'CCONJ'), ('در', 'ADP'), ('کل', 'NOUN'), ('با', 'ADP'), ('این', 'DET'), ('قیمت', 'NOUN'), ('بهترین', 'ADJ'), ('گوشی', 'NOUN'), ('هست', 'VERB'), ('و', 'CCONJ'), ('همه', 'PRON'), ('چی', 'ADV'), ('داره', 'VERB'), ('از', 'ADP'), ('دوربین', 'NOUN'), ('گرفته', 'VERB'), ('تا', 'ADP'), ('رم', 'NOUN'), ('و', 'CCONJ'), ('سی', 'NUM'), ('پی', 'NOUN,EZ'), ('یو', 'NOUN'), ('و', 'CCONJ'), ('گرافیک', 'NOUN'), ('و', 'CCONJ'), ('حسگر\u200cهای', 'NOUN,EZ'), ('مختلف', 'ADJ'), ('و', 'CCONJ'), ('خیلی', 'ADV'), ('چیزای', 'VERB'), ('دیگه', 'ADV')]"
گوسی هو اوی p10 lite سیپیو و دوربین و رمش از این خیلی بهتره خودتون میتونین برین تمام مقایسه های p10 liteو این گوشیو ببینین,گوسی هو اوی p ۱۰ lite سیپیو و دوربین و رمش از این خیلی بهتره خودتون میتونین برین تمام مقایسه‌های p ۱۰ liteو این گوشیو ببینین,"[('گوسی', 'NOUN'), ('هو', 'NOUN'), ('اوی', 'NOUN'), ('p', 'NOUN'), ('۱۰', 'NUM'), ('lite', 'NOUN'), ('سیپیو', 'NOUN'), ('و', 'CCONJ'), ('دوربین', 'NOUN'), ('و', 'CCONJ'), ('رمش', 'NOUN'), ('از', 'ADP'), ('این', 'PRON'), ('خیلی', 'ADV'), ('بهتره', 'VERB'), ('خودتون', 'PRON'), ('میتونین', 'NOUN,EZ'), ('برین', 'ADJ'), ('تمام', 'DET,EZ'), ('مقایسه\u200cهای', 'NOUN,EZ'), ('p', 'NOUN'), ('۱۰', 'NUM'), ('liteو', 'NOUN'), ('این', 'DET'), ('گوشیو', 'NOUN'), ('ببینین', 'VERB')]"
"چادر سبک و زیباییه دوختشم عالیه 

جنسشم خیلی خوبه چروک نمیشه","چادر سبک و زیباییه دوختشم عالیه

جنسشم خیلی خوبه چروک نمیشه","[('چادر', 'NOUN,EZ'), ('سبک', 'ADJ'), ('و', 'CCONJ'), ('زیباییه', 'NOUN,EZ'), ('دوختشم', 'NOUN,EZ'), ('عالیه', 'ADJ'), ('جنسشم', 'VERB'), ('خیلی', 'ADV'), ('خوبه', 'VERB'), ('چروک', 'NOUN'), ('نمیشه', 'VERB')]"
خیلی خوبه . حتما پیشنهاد میکنم,خیلی خوبه حتما پیشنهاد می‌کنم,"[('خیلی', 'ADV'), ('خوبه', 'VERB'), ('حتما', 'ADV'), ('پیشنهاد', 'NOUN'), ('می\u200cکنم', 'VERB')]"
"من چند روزیه این خردکن رو گرفتم.
واقعا کارکرد خوبی داره.طراحی ظاهر خردکن هم به نسبت بقیه خردکن ها خیلی زیباتره.
تیغه های بسیار تیزی داره (که اگه موقع شستن حواستون نباشه خیلی راحت دستتون رو میبره).جنس کاسه و تیغه هم که خیلی با کیفیت هستش.
پیاز،گوجه،گردو و ... رو خوب خرد میکنه.دوستان باید حواسمون باشه این محصول خردکن هستش و آسیاب نیست و  نباید انتظار خرد کردن موادی مثل گردو رو در حد آسیاب داشته باشیم.
محصول ساخت کشور ترکیه  بوده و تحت لیسانس کشور هلند هستش.(شکر خدا چینی نیست 

در کل محصول خوبیه و اگه با قیمتش مشکلی ندارین حتما پیشنهاد میکنم بخرین.","من چند روزیه این خردکن رو گرفتم 
واقعا کارکرد خوبی داره طراحی ظاهر خردکن هم به نسبت بقیه خردکن‌ها خیلی زیباتره 
تیغه‌های بسیار تیزی داره که اگه موقع شستن حواستون نباشه خیلی راحت دستتون رو میبره جنس کاسه و تیغه هم که خیلی با کیفیت هستش 
پیاز گوجه گردو و … رو خوب خرد میکنه دوستان باید حواسمون باشه این محصول خردکن هستش و آسیاب نیست و نباید انتظار خرد کردن موادی مثل گردو رو در حد آسیاب داشته باشیم 
محصول ساخت کشور ترکیه بوده و تحت لیسانس کشور هلند هستش شکر خدا چینی نیست

در کل محصول خوبیه و اگه با قیمتش مشکلی ندارین حتما پیشنهاد می‌کنم بخرین","[('من', 'PRON'), ('چند', 'DET'), ('روزیه', 'NOUN'), ('این', 'DET'), ('خردکن', 'NOUN'), ('رو', 'ADP'), ('گرفتم', 'VERB'), ('واقعا', 'ADV'), ('کارکرد', 'NOUN,EZ'), ('خوبی', 'ADJ'), ('داره', 'VERB'), ('طراحی', 'NOUN,EZ'), ('ظاهر', 'NOUN,EZ'), ('خردکن', 'ADJ'), ('هم', 'CCONJ'), ('به', 'ADP'), ('نسبت', 'NOUN,EZ'), ('بقیه', 'NOUN,EZ'), ('خردکن\u200cها', 'NOUN'), ('خیلی', 'ADV'), ('زیباتره', 'NOUN,EZ'), ('تیغه\u200cهای', 'NOUN,EZ'), ('بسیار', 'ADV'), ('تیزی', 'ADJ'), ('داره', 'VERB'), ('که', 'SCONJ'), ('اگه', 'SCONJ'), ('موقع', 'NOUN'), ('شستن', 'NOUN,EZ'), ('حواستون', 'NOUN'), ('نباشه', 'VERB'), ('خیلی', 'ADV'), ('راحت', 'ADV'), ('دستتون', 'NOUN'), ('رو', 'ADP'), ('میبره', 'NOUN'), ('جنس', 'NOUN,EZ'), ('کاسه', 'NOUN'), ('و', 'CCONJ'), ('تیغه', 'NOUN'), ('هم', 'CCONJ'), ('که', 'SCONJ'), ('خیلی', 'ADV'), ('با', 'ADP'), ('کیفیت', 'NOUN'), ('هستش', 'VERB'), ('پیاز', 'NOUN,EZ'), ('گوجه', 'NOUN'), ('گردو', 'NOUN'), ('و', 'CCONJ'), ('…', 'PUNCT'), ('رو', 'NOUN'), ('خوب', 'ADJ,EZ'), ('خرد', 'NOUN'), ('میکنه', 'VERB'), ('دوستان', 'NOUN'), ('باید', 'VERB'), ('حواسمون', 'NOUN'), ('باشه', 'VERB'), ('این', 'DET'), ('محصول', 'NOUN'), ('خردکن', 'NOUN'), ('هستش', 'VERB'), ('و', 'CCONJ'), ('آسیاب', 'NOUN'), ('نیست', 'VERB'), ('و', 'CCONJ'), ('نباید', 'VERB'), ('انتظار', 'NOUN,EZ'), ('خرد', 'ADJ'), ('کردن', 'NOUN,EZ'), ('موادی', 'NOUN'), ('مثل', 'ADV,EZ'), ('گردو', 'NOUN'), ('رو', 'ADP'), ('در', 'ADP'), ('حد', 'NOUN,EZ'), ('آسیاب', 'NOUN'), ('داشته_باشیم', 'VERB'), ('محصول', 'NOUN,EZ'), ('ساخت', 'NOUN,EZ'), ('کشور', 'NOUN,EZ'), ('ترکیه', 'NOUN'), ('بوده', 'VERB'), ('و', 'CCONJ'), ('تحت', 'ADP,EZ'), ('لیسانس', 'NOUN,EZ'), ('کشور', 'NOUN,EZ'), ('هلند', 'NOUN'), ('هستش', 'VERB'), ('شکر', 'NOUN,EZ'), ('خدا', 'NOUN'), ('چینی', 'ADJ'), ('نیست', 'VERB'), ('در', 'ADP'), ('کل', 'NOUN,EZ'), ('محصول', 'NOUN'), ('خوبیه', 'VERB'), ('و', 'CCONJ'), ('اگه', 'SCONJ'), ('با', 'ADP'), ('قیمتش', 'NOUN'), ('مشکلی', 'NOUN'), ('ندارین', 'VERB'), ('حتما', 'ADV'), ('پیشنهاد', 'NOUN'), ('می\u200cکنم', 'VERB'), ('بخرین', 'ADJ')]"
این گردن اویز برای هدیه گرفتم.راضی هستم .ساخت خوبی داره.بسیار ظریف وتمیز کار شده .از خریدم راضی هستم.,این گردن اویز برای هدیه گرفتم راضی هستم ساخت خوبی داره بسیار ظریف وتمیز کار شده از خریدم راضی هستم,"[('این', 'DET'), ('گردن', 'NOUN'), ('اویز', 'NOUN'), ('برای', 'ADP,EZ'), ('هدیه', 'NOUN'), ('گرفتم', 'VERB'), ('راضی', 'ADJ'), ('هستم', 'VERB'), ('ساخت', 'NOUN,EZ'), ('خوبی', 'ADJ'), ('داره', 'VERB'), ('بسیار', 'ADV'), ('ظریف', 'ADJ,EZ'), ('وتمیز', 'ADJ'), ('کار', 'NOUN'), ('شده', 'VERB'), ('از', 'ADP'), ('خریدم', 'NOUN'), ('راضی', 'ADJ'), ('هستم', 'VERB')]"
بسیار عالی,بسیار عالی,"[('بسیار', 'ADV'), ('عالی', 'ADJ')]"
